Timestamp,Repetitions,Back-Thigh Angle
21:03:29,0,171.3540895236342
21:03:29,0,171.7326782182585
21:03:29,0,171.85851346081859
21:03:29,0,171.82261969476758
21:03:29,0,171.9932500450624
21:03:30,0,172.42158937997715
21:03:30,0,172.47829146484395
21:03:30,0,172.50162203422607
21:03:30,0,172.63472410271044
21:03:30,0,172.74075428068932
21:03:30,0,172.88000476966985
21:03:30,0,173.08892371142053
21:03:31,0,173.1683538194387
21:03:31,0,173.17690446333862
21:03:31,0,174.39590786959675
21:03:31,0,173.55129804810775
21:03:31,0,173.04154931729468
21:03:31,0,172.7741268763151
21:03:31,0,172.56888888675132
21:03:32,0,172.42888444708748
21:03:32,0,172.77562803566465
21:03:32,0,175.65891748114666
21:03:32,0,175.35837670016411
21:03:32,0,174.94668410192946
21:03:32,0,174.13680692895176
21:03:33,0,173.41483284085842
21:03:33,0,173.22574279348046
21:03:33,0,173.74767280487401
21:03:33,0,172.39837156565937
21:03:33,0,172.671016916472
21:03:33,0,172.25572916284221
21:03:33,0,171.99646387561202
21:03:34,0,171.99913890336714
21:03:34,0,172.49441162648046
21:03:34,0,172.22400173383838
21:03:34,0,172.91483817287497
21:03:34,0,173.5333896239896
21:03:34,0,172.54472521840654
21:03:34,0,172.20479532437665
21:03:35,0,172.82488625938058
21:03:35,0,172.39345040836827
21:03:35,0,172.00337297337174
21:03:35,0,171.80665683319103
21:03:35,0,172.55266927596708
21:03:35,0,173.50153917386598
21:03:35,0,173.66745185241183
21:03:35,0,173.1282992766224
21:03:36,0,174.06835517402746
21:03:36,0,173.97960519858992
21:03:36,0,173.34316422173183
21:03:36,0,173.13617945681685
21:03:36,0,175.65780051280848
21:03:36,0,172.1528667528602
21:03:36,0,171.8837976740084
21:03:37,0,171.32904344597313
21:03:37,0,171.5019810892414
21:03:37,0,169.43149633186687
21:03:37,0,169.82735632714724
21:03:37,0,171.1252582691683
21:03:37,0,171.30568868289845
21:03:37,0,171.8283091992074
21:03:38,0,172.79624552530447
21:03:38,0,173.3342502072743
21:03:38,0,173.67250368839458
21:03:38,0,173.16605106850355
21:03:38,0,173.7342580561928
21:03:38,0,174.44357996440456
21:03:38,0,174.03611499858152
21:03:39,0,173.879782092128
21:03:39,0,174.07211766398407
21:03:39,0,174.37012450443123
21:03:39,0,175.10076326090578
21:03:39,0,173.29554597567528
21:03:39,0,173.59221931406555
21:03:39,0,173.4667506756812
21:03:40,0,173.2255301732057
21:03:40,0,172.9440367680316
21:03:40,0,174.60532643208734
21:03:40,0,174.52504292884979
21:03:40,0,174.5425204602969
21:03:40,0,173.75738475462748
21:03:40,0,173.70492574492653
21:03:41,0,173.92063400284925
21:03:41,0,174.3020021708479
21:03:41,0,175.09536347874922
21:03:41,0,174.90591463953842
21:03:41,0,174.69786149441242
21:03:41,0,174.9894940595475
21:03:41,0,175.06080407977834
21:03:42,0,175.01695375319912
21:03:42,0,173.3273536754178
21:03:42,0,170.6008421571854
21:03:42,0,171.65723925290436
21:03:42,0,167.49311750380164
21:03:42,0,179.94841528154842
21:03:45,0,174.0256676718569
21:03:45,0,175.4044844729255
21:03:45,0,174.61693409509812
21:03:45,0,174.91658849702117
21:03:45,0,174.2543306786156
21:03:45,0,173.93772524481992
21:03:46,0,173.78992996589534
21:03:46,0,173.50151275803515
21:03:46,0,172.43397048501484
21:03:46,0,171.32463799276502
21:03:46,0,172.40430577563555
21:03:46,0,175.62985959146957
21:03:46,0,178.98874150848857
21:03:47,0,178.7742101685579
21:03:47,0,179.62736834954893
21:03:47,0,172.7903938811713
21:03:47,0,174.96267565854976
21:03:47,0,175.63728323579988
21:03:47,0,179.7453270504148
21:03:47,0,179.55828607226996
21:03:48,0,179.04869720185386
21:03:48,0,179.3623365586369
21:03:48,0,179.59895375957797
21:03:48,0,179.79632070766272
21:03:48,0,179.76746693185666
21:03:48,0,179.92608337262695
21:03:48,0,179.7003933996223
21:03:49,0,179.20181286457637
21:03:49,0,178.126780461565
21:03:49,0,176.2612425204136
21:03:49,0,164.50094756823174
21:03:49,0,161.93971294846332
21:03:49,0,152.065048825917
21:03:49,0,135.2809153018394
21:03:50,1,60.42309546508642
21:03:50,2,56.03667685326945
21:03:50,3,42.873392966028966
21:03:50,4,54.29886220687372
21:03:50,5,52.59396994669499
21:03:50,6,49.85493213117256
21:03:50,6,100.84173796455525
21:03:51,6,161.06973560767761
21:03:51,6,135.02031911924547
21:03:51,6,143.69981581439393
21:03:51,6,145.96245799533366
21:03:51,6,165.5778691356729
21:03:51,6,166.7014365406006
21:03:51,6,170.621207819002
21:03:52,6,171.9699953704751
21:03:52,6,176.0473717456898
21:03:52,6,177.34024094303052
21:03:52,6,179.27828755722447
21:03:52,6,177.92741920016343
21:03:52,6,171.30118721151118
21:03:52,6,161.37450519916447
21:03:53,6,135.23848215555262
21:03:53,6,125.29653726960551
21:03:53,7,45.96218342877622
21:03:53,8,62.170625550168324
21:03:53,9,42.96292215837979
21:03:53,10,33.18592129624134
21:03:53,11,50.28725943353735
21:03:54,12,61.05517376617078
21:03:54,12,118.53658067558413
21:03:54,12,164.63735067296207
21:03:54,12,173.6247983439025
21:03:54,12,169.9717199839975
21:03:55,12,173.76212580268808
21:03:55,12,177.8391247930907
21:03:55,12,179.12019770369412
21:03:55,12,171.36600537222884
21:03:55,12,171.94367281864177
21:03:55,12,173.0595543972982
21:03:55,12,174.4682493962245
21:03:56,12,173.02378708816204
21:03:56,12,171.72483029892004
21:03:56,12,173.17340131267312
21:03:56,12,174.53350066285185
